Formula,S8,S6,S4,GL 0831,Triester,Priolube/palmester 3970,CV1103,SPAMA52,VM-HV,KV 40,KV 100,VI
F540-1,65.7,,,,10,,14.3,10,,94.16,14.1,154
F540-2,68.7,,,,10,,14.3,,7,95.4,14.53,158
F540-3,68.7,,,,10,,14.3,7,,83.8,12.6,148
F540-5,60.7,5,,,10,,14.3,10,,91.3,13.4,147
F540-6,63.2,,,5,7.5,,14.3,10,,,13.15,
F540-7,63.2,,,,7.5,5,14.3,10,,,13.29,
F540-8,65.7,,,2.5,7.5,,14.3,10,,,13.09,
F540-9,68.7,,,2.5,7.5,,14.3,7,,81.83,11.67,135
F540-10,62.7,5,,,10,,14.3,,8,,15.89,
F540-11,68.7,,,5,5,,14.3,,7,87.62,13.44,154
F540-12,64.2,5,,2.5,7.5,,14.3,,6.5,92.46,14.26,159
F540-13,68.7,,,,7.5,2.5,14.3,7,,83.3,12.1,140
F540-14,67.7,,,,5,5,14.3,8,,80.2,11.9,142
F540-15,62.7,5,,,7.5,2.5,14.3,8,,81.7,12.15,144
F540-16,58.2,7.5,,,5,5,14.3,10,,82.55,11.09,122
F540-17,50.7,15,,,5,5,14.3,10,,83.4,11.7,132
F540-18,35.7,30,,,5,5,14.3,10,,75.5,11.75,150
F540-19,25.7,40,,,5,5,14.3,10,,75.32,11.32,142
F540-20,35.7,30,,,,10,14.3,10,,68.47,10.47,140
F540-21,20.7,45,,,5,5,14.3,10,,74.4,,
F540-22,15.7,50,,,5,5,14.3,10,,72.8,,
F540-23,,65.7,,,5,5,14.3,10,,69.96,10.78,144
F540-24,,65.7,,,,10,14.3,10,,62,9.91,145
F540-25,,27.88,41.82,,10,,14.3,6,,53.4,9,149
F540-26,,26.28,39.42,,10,,14.3,10,,61.5,9.95,148
F540-27,,26.28,39.42,,5,5,14.3,10,,55.9,9.74,161
F540-28,57.7,10,,,10,,14.3,,8,96.02,14.74,160
F540-29,52.7,15,,,10,,14.3,,8,93.5,14.94,168
F540-30,10.7,20,35,,10,,14.3,10,,63.88,10.6,156
F540-31,10.7,20,35,,5,5,14.3,10,,56.38,9.9,163
F540-32,20.7,20,25,,10,,14.3,10,,70.58,,
F540-33,15.7,20,30,,10,,14.3,10,,67.5,,
F540-34,15.7,20,30,,5,5,14.3,10,,,9.8,
F540-35,7.36666666666667,23.3333333333333,35,,5,5,14.3,10,,,9.6,
